Fitness: 168514, Laufzeit: 0:00:03 Pop: 30, Wi: 1, Mu: 7, Me: 1, Gen: 4 RoundsFind: 6, RoundsPolygon: 3 Dissmissed: 1
Fitness: 182064, Laufzeit: 0:00:05 Pop: 30, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 13, RoundsPolygon: 3 Dissmissed: 1
Fitness: 180000, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 6, RoundsPolygon: 3 Dissmissed: 1
Fitness: 184752, Laufzeit: 0:00:06 Pop: 30, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 12, RoundsPolygon: 3 Dissmissed: 1
Fitness: 187345, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 10, RoundsPolygon: 3 Dissmissed: 1
Fitness: 182131, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 3 Dissmissed: 1
Fitness: 182672, Laufzeit: 0:00:05 Pop: 30, Wi: 1, Mu: 1, Me: 7, Gen: 4 RoundsFind: 12, RoundsPolygon: 2 Dissmissed: 1
Fitness: 183347, Laufzeit: 0:00:05 Pop: 30, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 10, RoundsPolygon: 3 Dissmissed: 1
Fitness: 175309, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 6, RoundsPolygon: 4 Dissmissed: 1
Fitness: 184185, Laufzeit: 0:00:06 Pop: 30, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 11, RoundsPolygon: 3 Dissmissed: 1
Fitness: 178065, Laufzeit: 0:00:09 Pop: 30, Wi: 3, Mu: 5, Me: 1, Gen: 4 RoundsFind: 16, RoundsPolygon: 6 Dissmissed: 1
Fitness: 170290, Laufzeit: 0:00:09 Pop: 30, Wi: 3, Mu: 7, Me: 1, Gen: 4 RoundsFind: 18, RoundsPolygon: 6 Dissmissed: 1
Fitness: 184517, Laufzeit: 0:00:10 Pop: 30, Wi: 3, Mu: 5, Me: 3, Gen: 4 RoundsFind: 18, RoundsPolygon: 6 Dissmissed: 1
Fitness: 183337, Laufzeit: 0:00:07 Pop: 30, Wi: 3, Mu: 3, Me: 5, Gen: 4 RoundsFind: 16, RoundsPolygon: 6 Dissmissed: 1
Fitness: 183722, Laufzeit: 0:00:10 Pop: 30, Wi: 3, Mu: 3, Me: 1, Gen: 4 RoundsFind: 13, RoundsPolygon: 6 Dissmissed: 1
Fitness: 187312, Laufzeit: 0:00:11 Pop: 30, Wi: 3, Mu: 3, Me: 3, Gen: 4 RoundsFind: 16, RoundsPolygon: 6 Dissmissed: 1
Fitness: 184478, Laufzeit: 0:00:08 Pop: 30, Wi: 3, Mu: 1, Me: 7, Gen: 4 RoundsFind: 15, RoundsPolygon: 5 Dissmissed: 1
Fitness: 185321, Laufzeit: 0:00:08 Pop: 30, Wi: 3, Mu: 1, Me: 5, Gen: 4 RoundsFind: 14, RoundsPolygon: 5 Dissmissed: 1
Fitness: 187472, Laufzeit: 0:00:09 Pop: 30, Wi: 3, Mu: 1, Me: 3, Gen: 4 RoundsFind: 15, RoundsPolygon: 6 Dissmissed: 1
Fitness: 189832, Laufzeit: 0:00:15 Pop: 30, Wi: 3, Mu: 1, Me: 1, Gen: 4 RoundsFind: 12, RoundsPolygon: 6 Dissmissed: 1
Fitness: 184325, Laufzeit: 0:00:15 Pop: 30, Wi: 6, Mu: 5, Me: 3, Gen: 4 RoundsFind: 23, RoundsPolygon: 10 Dissmissed: 1
Fitness: 170500, Laufzeit: 0:00:21 Pop: 30, Wi: 6, Mu: 7, Me: 1, Gen: 4 RoundsFind: 29, RoundsPolygon: 10 Dissmissed: 1
Fitness: 175927, Laufzeit: 0:00:14 Pop: 30, Wi: 6, Mu: 5, Me: 1, Gen: 4 RoundsFind: 26, RoundsPolygon: 9 Dissmissed: 1
Fitness: 184814, Laufzeit: 0:00:11 Pop: 30, Wi: 6, Mu: 3, Me: 5, Gen: 4 RoundsFind: 19, RoundsPolygon: 10 Dissmissed: 1
Fitness: 186131, Laufzeit: 0:00:12 Pop: 30, Wi: 6, Mu: 3, Me: 3, Gen: 4 RoundsFind: 21, RoundsPolygon: 11 Dissmissed: 1
Fitness: 184211, Laufzeit: 0:00:10 Pop: 30, Wi: 6, Mu: 1, Me: 7, Gen: 4 RoundsFind: 18, RoundsPolygon: 10 Dissmissed: 1
Fitness: 177661, Laufzeit: 0:00:17 Pop: 30, Wi: 6, Mu: 3, Me: 1, Gen: 4 RoundsFind: 29, RoundsPolygon: 9 Dissmissed: 1
Fitness: 188424, Laufzeit: 0:00:12 Pop: 30, Wi: 6, Mu: 1, Me: 5, Gen: 4 RoundsFind: 21, RoundsPolygon: 10 Dissmissed: 1
Fitness: 186691, Laufzeit: 0:00:15 Pop: 30, Wi: 6, Mu: 1, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 9 Dissmissed: 1
