Fitness: 186469, Laufzeit: 0:00:02 Pop: 30, Wi: 0, Mu: 5, Me: 5, Gen: 4 RoundsFind: 4, RoundsPolygon: 2 Dissmissed: 10
Fitness: 185850, Laufzeit: 0:00:03 Pop: 30, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 4 Dissmissed: 10
Fitness: 191417, Laufzeit: 0:00:03 Pop: 30, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 3 Dissmissed: 10
Fitness: 192596, Laufzeit: 0:00:05 Pop: 30, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 8, RoundsPolygon: 3 Dissmissed: 10
Fitness: 188124, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 3 Dissmissed: 10
Fitness: 188957, Laufzeit: 0:00:03 Pop: 30, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 9, RoundsPolygon: 3 Dissmissed: 10
Fitness: 180249, Laufzeit: 0:00:03 Pop: 30, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 4, RoundsPolygon: 3 Dissmissed: 10
Fitness: 189565, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 5, RoundsPolygon: 3 Dissmissed: 10
Fitness: 190533, Laufzeit: 0:00:04 Pop: 30, Wi: 1, Mu: 5, Me: 5, Gen: 4 RoundsFind: 8, RoundsPolygon: 3 Dissmissed: 10
Fitness: 190666, Laufzeit: 0:00:09 Pop: 30, Wi: 3, Mu: 1, Me: 1, Gen: 4 RoundsFind: 9, RoundsPolygon: 6 Dissmissed: 10
Fitness: 192150, Laufzeit: 0:00:08 Pop: 30, Wi: 3, Mu: 1, Me: 3, Gen: 4 RoundsFind: 12, RoundsPolygon: 6 Dissmissed: 10
Fitness: 193687, Laufzeit: 0:00:10 Pop: 30, Wi: 3, Mu: 1, Me: 5, Gen: 4 RoundsFind: 15, RoundsPolygon: 6 Dissmissed: 10
