Fitness: 191185, Laufzeit: 0:00:04 Pop: 60, Wi: 0, Mu: 1, Me: 3, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
Fitness: 180700, Laufzeit: 0:00:56 Pop: 30, Wi: 50, Mu: 5, Me: 5, Gen: 4 RoundsFind: 91, RoundsPolygon: 61 Dissmissed: 1
Fitness: 189941, Laufzeit: 0:00:04 Pop: 60, Wi: 0, Mu: 1, Me: 5, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
Fitness: 179435, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 183684, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
Fitness: 191999, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
Fitness: 188733, Laufzeit: 0:00:06 Pop: 60, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 1
Fitness: 184729, Laufzeit: 0:00:04 Pop: 60, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 187640, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 5, Me: 5, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 1
Fitness: 186280, Laufzeit: 0:00:07 Pop: 60, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 3 Dissmissed: 1
Fitness: 179593, Laufzeit: 0:02:07 Pop: 30, Wi: 50, Mu: 5, Me: 1, Gen: 4 RoundsFind: 143, RoundsPolygon: 71 Dissmissed: 1
Fitness: 190251, Laufzeit: 0:00:09 Pop: 60, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 4, RoundsPolygon: 4 Dissmissed: 1
Fitness: 192600, Laufzeit: 0:00:09 Pop: 60, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 5, RoundsPolygon: 3 Dissmissed: 1
Fitness: 181668, Laufzeit: 0:00:08 Pop: 60, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 4 Dissmissed: 1
Fitness: 186881, Laufzeit: 0:00:07 Pop: 60, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 3, RoundsPolygon: 4 Dissmissed: 1
Fitness: 190502, Laufzeit: 0:00:08 Pop: 60, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 4, RoundsPolygon: 3 Dissmissed: 1
Fitness: 184053, Laufzeit: 0:00:07 Pop: 60, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 3 Dissmissed: 1
Fitness: 181278, Laufzeit: 0:00:07 Pop: 60, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 3, RoundsPolygon: 4 Dissmissed: 1
Fitness: 185933, Laufzeit: 0:00:08 Pop: 60, Wi: 1, Mu: 5, Me: 5, Gen: 4 RoundsFind: 4, RoundsPolygon: 4 Dissmissed: 1
Fitness: 195086, Laufzeit: 0:00:12 Pop: 60, Wi: 3, Mu: 1, Me: 3, Gen: 4 RoundsFind: 9, RoundsPolygon: 6 Dissmissed: 1
Fitness: 187481, Laufzeit: 0:00:12 Pop: 60, Wi: 3, Mu: 1, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 7 Dissmissed: 1
Fitness: 195058, Laufzeit: 0:00:15 Pop: 60, Wi: 3, Mu: 1, Me: 5, Gen: 4 RoundsFind: 10, RoundsPolygon: 6 Dissmissed: 1
Fitness: 191305, Laufzeit: 0:00:14 Pop: 60, Wi: 3, Mu: 3, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 6 Dissmissed: 1
Fitness: 190787, Laufzeit: 0:00:12 Pop: 60, Wi: 3, Mu: 3, Me: 5, Gen: 4 RoundsFind: 10, RoundsPolygon: 5 Dissmissed: 1
Fitness: 189114, Laufzeit: 0:00:17 Pop: 60, Wi: 3, Mu: 3, Me: 3, Gen: 4 RoundsFind: 9, RoundsPolygon: 6 Dissmissed: 1
Fitness: 187087, Laufzeit: 0:00:16 Pop: 60, Wi: 3, Mu: 5, Me: 1, Gen: 4 RoundsFind: 7, RoundsPolygon: 6 Dissmissed: 1
Fitness: 189504, Laufzeit: 0:00:13 Pop: 60, Wi: 3, Mu: 5, Me: 3, Gen: 4 RoundsFind: 9, RoundsPolygon: 6 Dissmissed: 1
Fitness: 190811, Laufzeit: 0:00:13 Pop: 60, Wi: 3, Mu: 5, Me: 5, Gen: 4 RoundsFind: 10, RoundsPolygon: 6 Dissmissed: 1
Fitness: 191502, Laufzeit: 0:00:23 Pop: 60, Wi: 6, Mu: 1, Me: 1, Gen: 4 RoundsFind: 15, RoundsPolygon: 11 Dissmissed: 1
Fitness: 194614, Laufzeit: 0:00:23 Pop: 60, Wi: 6, Mu: 1, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 10 Dissmissed: 1
Fitness: 195540, Laufzeit: 0:00:34 Pop: 60, Wi: 6, Mu: 1, Me: 5, Gen: 4 RoundsFind: 27, RoundsPolygon: 9 Dissmissed: 1
Fitness: 190747, Laufzeit: 0:00:23 Pop: 60, Wi: 6, Mu: 3, Me: 3, Gen: 4 RoundsFind: 20, RoundsPolygon: 10 Dissmissed: 1
Fitness: 189658, Laufzeit: 0:00:30 Pop: 60, Wi: 6, Mu: 3, Me: 1, Gen: 4 RoundsFind: 13, RoundsPolygon: 10 Dissmissed: 1
Fitness: 192012, Laufzeit: 0:00:34 Pop: 60, Wi: 6, Mu: 3, Me: 5, Gen: 4 RoundsFind: 29, RoundsPolygon: 10 Dissmissed: 1
Fitness: 184412, Laufzeit: 0:00:23 Pop: 60, Wi: 6, Mu: 5, Me: 1, Gen: 4 RoundsFind: 13, RoundsPolygon: 10 Dissmissed: 1
Fitness: 191356, Laufzeit: 0:00:25 Pop: 60, Wi: 6, Mu: 5, Me: 3, Gen: 4 RoundsFind: 22, RoundsPolygon: 10 Dissmissed: 1
Fitness: 190701, Laufzeit: 0:00:27 Pop: 60, Wi: 6, Mu: 5, Me: 5, Gen: 4 RoundsFind: 26, RoundsPolygon: 10 Dissmissed: 1
Fitness: 190838, Laufzeit: 0:00:34 Pop: 60, Wi: 10, Mu: 1, Me: 1, Gen: 4 RoundsFind: 19, RoundsPolygon: 15 Dissmissed: 1
Fitness: 195159, Laufzeit: 0:01:00 Pop: 60, Wi: 10, Mu: 1, Me: 3, Gen: 4 RoundsFind: 38, RoundsPolygon: 17 Dissmissed: 1
